GeneSymbol	C1_rpkm	C2_rpkm	C3_rpkm	C4_rpkm	C5_rpkm	C6_rpkm	C7_rpkm	C8_rpkm	A9_rpkm	A10_rpkm	A11_rpkm	A12_rpkm	A13_rpkm	A14_rpkm	A15_rpkm	A16_rpkm	A17_rpkm
SNHG10	22.31466667	53.03049829	14.62877192	13.8395604	29.42061819	29.78836283	15.23443623	15.5337627	9.992393947	15.01071383	17.23497899	25.46242298	8.912808918	16.61393932	30.93353796	15.91539998	22.94322361
C14orf177	0.0	0.0	0.0	0.058922177	0.052410155	0.096941076	0.0	0.0	0.07913401	0.0	0.034525276	0.0	0.042974049	0.0	0.032925023	0.046379173	0.0
C14orf68	0.0	0.0	0.0	0.042138881	0.0	0.023109513	0.0	0.0	0.028296805	0.0	0.024691153	0.0	0.184400349	0.0	0.0	0.0	0.035827091
TSSK4	3.430057514	3.038175372	4.659757714	2.904119339	4.845925955	1.827234385	2.193678274	3.054515486	2.418795364	3.546143849	3.350555675	3.048309365	5.385500606	3.014057267	2.817864298	2.480829987	3.292166161
FAM177A1	12.06995645	11.14180622	9.135887499	8.375546649	12.60255053	8.365820856	10.77961785	10.26116224	15.49515681	14.65893655	9.504746689	13.75469891	9.259700033	14.21120959	14.18870882	11.19005325	11.04064673
KIAA0284	12.95049819	27.89261057	25.82248966	18.86209409	14.3582422	11.92759576	15.9605438	21.48579968	11.15194825	15.44771615	13.92624778	15.15838562	19.78917409	17.09721218	24.39483018	18.07457706	22.20727063
C14orf80	1.984374304	7.223113725	3.341633084	2.948684765	2.922044495	2.821780452	3.045650228	2.638800285	2.445199491	4.049530741	2.272775413	2.869535201	3.810425643	3.229718956	4.290630452	2.772721808	2.692096425
C15orf21	0.200772772	0.078813059	0.279928913	0.025695837	0.0	0.169103195	0.139103626	0.210387729	0.103530526	0.340449816	0.0602256	0.191774731	0.112445352	0.251112861	0.287170666	0.161806878	0.436939512
SLC24A5	17.8960979	2.890321584	13.40266294	9.135528535	9.17362816	15.33159362	14.06924189	17.11510835	15.11684287	17.30224331	13.86548469	15.96374755	7.903802497	13.99270769	12.63773667	14.5876632	13.17523922
PRTG	1.221587518	2.397662011	1.803396051	0.892083193	2.552259777	0.87758798	1.258880567	0.882078159	1.210442295	0.758175022	0.808319872	1.627692198	2.57568254	1.923329	1.408093499	0.991741321	1.063410838
C15orf60	1.042855745	0.245622903	0.94510604	0.440449515	1.139698792	1.09794668	0.433519988	0.983518059	0.967966545	0.47156467	0.65693115	0.683052372	1.109722864	0.743469634	0.22374367	0.535792451	0.817039858
