"GeneSymbol"	"C1_raw"	"C3_raw"	"C4_raw"	"C7_raw"	"C8_raw"	"A9_raw"	"A10_raw"	"A11_raw"	"A12_raw"	"A14_raw"	"A15_raw"	"A16_raw"	"A17_raw"
"AP1G1"	3925.266888	2257	5369.960205	6553.942093	3772.888963	3825.978338	3588	4412.120657	4642.456323	4643.976819	3713.841375	6169.894015	2725
"AEBP1"	693	671	571	1794	632	919	623	1151	729	1140	1273	1888	571
"AES"	5542	4526	8713	13140	8060	5031	5197	6215	6418	7344	7942	11218	5322
"AFG3L1"	321	370	473	435	412	270	325	433	617	484	493	447	394
"AFP"	3	1	8	12	10	7	10	5	6	5	11	14	9
"AGA"	342.96	183.7337793	270.0443753	444.6904421	425.6194648	300	242	187	565	482.6984277	592.1851553	329	193
"ACAN"	125	28	116	101	80	41	63	127	114	80	66	233	91
"AGER"	33	37	56	72	53	41	40	49	60	59	62	50	47
"AGL"	2193	1878	2869	4215	2767	2508	2572	2169	3307	3726	3343	4016	1750
"AGRP"	17	13	30	19	3	12	10	18	12	19	25	18	19
"JAG1"	555	533	744	938.6477973	515.0235796	440.9285714	494	734.9354839	650	1046.905002	658	1144.95122	568
"AGT"	3223.995772	1704	2675.995699	4046.131864	3328.961724	2530	3152.210248	2582	4378	6059.46798	4595.194704	4958.421119	3157
"AGTR1"	0	1	1	5	1	2	9	4	4	3	1	7	2
"AGTR2"	0	0	1	0	0	1	0	0	0	0	0	0	0
"APLNR"	455	201	642	594	594	683	472	352	1432	1196	1348	3161	626
"NR0B1"	4	6	3	14	7	5	6	8	7	7	14	12	4
"AHCY"	715	465	1023	1251	850	581	586	872	726	961	821	1296	504
"AHR"	988	417	1127	1446	934	1086	691	892	1316	1887	1109	1459	677
"AHSG"	3	2	2	3	2	0	2	1	1	2	8	7	1
"AIF1"	77	20	43	24	33	37	73	64	91	88	90	135	36
"AIM1"	198	159	207	151	146	124	138	176	276	276	209	223	129
"AK1"	662	529	1002	1335	915	684	693	701	839	889	1034	1190	626
"AK2"	639	422	749	777	506	572	509	625	913	845	683.5134732	765.753819	492
"AK3L1"	221	175	306	383	257	172	212	303	282	284	324	365	188
"AKT1"	1570	1287	2247	2662	2013	1246	1275	1728	1995	2287	1987	2903	1404
"AKT2"	1185.893583	1330.134248	1881	1853.585963	1172.019473	1006	777.9518714	1425.074896	1777.007143	1595.046994	1818.995423	2031.997381	1441
"ALAD"	1077	859.8867345	1626.836945	2030.940932	1332.906631	1250.876061	1090.990115	1477.995546	1495.881349	1838.961713	2115.838556	1864.92415	978
"ALAS1"	947	664	1683.205145	1981	1240	1160	898.0579608	1223	1172.030156	1570.095326	1098.087078	2006	746
"ALAS2"	35	21	24	26	26	21	15	77	15	67	17	54	21
"ALB"	17	19	11	49	107.7106336	36	43	9	40	69	54	36	8
"ALCAM"	5422.1936	2325.491455	6597.676234	6813.044685	4180.857706	5950.109788	4006.557951	6521.094734	6650.010648	6162.211404	5535.75811	6451.460421	3592
"ABCD1"	73	64	113	83	76	48	64	96	147	107	73	108	82
"ALDH1A1"	1053	855	1240.97202	2073.978897	1285.209685	1178	743	871.9895833	2031.994048	1689.980583	1180	1732.987271	872
"ALDH2"	3058.133867	3012.34862	4868.079152	5299	4434.376189	2731.032121	2554.662634	4248.075446	4119	4854.37416	4448.127127	5687	3048
"ALDH3A1"	3	8	18	10	5	6	4	6	4	9	24	16	2
"ALDH1B1"	130	96	220	357	195	163	132	197	227	223	170	210	111
"ALDH1A3"	416	297	502	913	509	436.0129796	491.0078239	468	320	652	476	852	279
"ALDH3B1"	65	42	60	54	68	51	50	52	68	92	109	77	64
"ALDH3B2"	2	0	1	2	2	2	2	6	1	1	2	0	2
"ALDH9A1"	1452	1072	1565.053875	2569	1747.501973	1419	1271	1518	2095.251906	2707	2177.848735	2394	1300
"ALDH3A2"	1850.977401	1143.981481	2888.988131	2390	1390.027497	1943	1407.109871	2663.107482	2301.004394	2172.103761	2090.817584	3843.931822	1254
"ABCD2"	550	413	608	1475	862	709	534	659	808	944	701	985	507
"ALDOA"	15107.83102	9640.093392	19416.61294	27913.67306	19273.57803	13595.98236	14661.96191	14402.28307	13830.4056	18377.65678	18294.08458	27258.52109	10144.06246
"ALDOB"	69	40	60	50	94	54	55	92	60	54	52	97	33
"ALDOC"	11221.66985	10233.4995	17138.30243	22464.57802	17499.42817	13164.23738	12879.70459	13613.48986	13480.55975	19573.66427	19484.15349	22264.33367	10617.95817
"AKR1B1"	739.1875829	446.0912633	1103.89968	1375	916.9548444	748.8024552	663.0482774	1040.423503	1053.963776	1082.989796	895	1295.8679	637.6714748
"ALK"	301	252	437	584	378	296	295	433	333	422	412	559	229
"ALOX12"	112	112	148	119	65	89	113	152	171	130	93	129	66
"ALOX5"	172	106	219	80	195	101	129	172	354	292	283	358	244
"ALOX5AP"	194	47	177	75	102	86	128	236	327	175	107	351	176
"ALOX12B"	29	21.00208134	27	42	61	47	35	17	26	46	30	82	13
"ANXA8L2"	3.006107436	0	4	0	0	0	2	0	0	2	6	1	0
"ALOX12P2"	306	360	649	500	279	379	271	510	447	448	344	487	284
"ALOX15"	2	8	9	3	9	6	3	19	7	18	11	17	10
"ALOX15B"	38	26	83	22	89	14	37	93	70	15	31	79	56
"ALPL"	154	255	436	368.0348915	225.3385028	115	178	321	387	408.974359	348	571.3086574	194
"ALPP"	2	1	2	2	1	0	5	0	1	0	1	1	3
"ALPPL2"	0	2	2	3	4	0	4	0	4	6	4	4	4
"ALX3"	41	46	61	57	41	49	40	61	47	67	49	68	31
"AMBN"	0	0	3	0	0	1	3	0	1	0	0	1	0
"AMBP"	5	0	7	5	6	1	2	5	9	3	4	8	0
"AMD1"	4225.913455	1856	4647.949673	5681.47613	3836.866567	4358.977827	3425	4818.956084	5075.003062	4875.102634	3890.774723	6023.290009	2681.145273
"AMELX"	3	1	0	3	0	3	2	3	3	7	1	5	2
"AMFR"	3874	2176	4849	7003	5052	3522	3464.197453	4539	4458.25887	5033.555172	4288	6908	2975
"AMH"	25	44	42	29	19	3	16	44	67	52	54	67	48
"AMPD2"	1640.086393	1561.06392	3147.951654	3211.943677	2332.136298	1664.066334	1546.214796	2347.083225	2164.942405	2735.060724	2371	3585.87914	1587
"AMPD3"	797	578	986	1297	647	794	744	622.9487179	964	948.0769231	1018.07089	1131	585
"AMPH"	6215	3868	8213.461978	8617.970703	7531.912122	5344	4861.079612	6279	5113	6561.00002	5145.000006	10818.68245	3342
"BIN1"	6252.75223	3626.955183	8032.038173	8101.305196	5681.240203	5520.006426	4394.001122	5832.09932	8512.67996	8671.783447	9062.267803	8632.360886	5195.133641
"AMT"	185	322	370	336	292	179	244	230.0032595	281	389	332	462	214
"AMY1A"	607	685	861	1156	669	633	774	515	934	912	874	954	405
"AMY1B"	13	8	9	32	16	13	17	7	20	20	15	17	7
"AMY1C"	247.9787234	241	320	639.0404128	338	285	335	157.968254	382	363	420	439	146
"AMY2A"	108	110	131	273	110	140	117	77	184	171	145	213	64
"AMY2B"	1132	926	1114	2107	1281	1232	1222	1069	1451	1499	1632	1974	923
"ANG"	25	17	24	29.00015832	15	26.05033249	31.18152375	18.43106789	38	34.00023744	45.04260568	44.00061824	23
"ANGPT1"	117	76	125	163	111.4039959	129	122	177	341	225.0136424	223	418	245
"ANGPT2"	758	198	593	261	171	203	172	385	371	357	166	354	386
"ANK1"	1040	927	1616.116956	1766	1255	830	1075	1264	1055	1823	1084	1685	984
"ANK2"	39530.9219	24649.91567	52944.44377	69602.62854	46592.78156	36992.83587	32795.927	42697.95459	42917.5418	47828.88024	37563.75933	65448.82251	24697.82578
"ANK3"	16323.77933	10812.12705	22191.39881	27560.45077	15937.96648	16840.25344	12918.23958	18397.10314	21108.43663	22203.50408	16521.50361	23033.55369	10775.3234
"ANPEP"	41	48	62	20	18	11	37	90	59	25	47	48	41
"SLC25A4"	1654	913	2621	3542	2301	1833	1632	2094	1517	1991	1736	3297	1048
"SLC25A5"	1076	740	1638	2066	1400.996357	1176.992661	953.2880322	1429	1334.495078	1694	1242	1732	738
"SLC25A6"	0	0	9	5	4	1	0	4	2	4	36	17	0
"ANXA1"	569	330	490	714	290	452	418	389	787.9684324	814	820	1512.20977	360
"ANXA2"	78	47	121.0319034	81	42	63	157	123	216	189	116	231	90
"ANXA3"	478.0769166	334	578	321	271	221	188	335	1039	597	263	606	235
"ANXA4"	488.9260982	271	362.0963832	544.8430278	451	615	347	511.0430409	581	629	597	639	334
"ANXA5"	2007.749942	1047.082779	2552.049706	2322.167318	1397.760939	1615.915759	1518.774606	1968.909889	2718.796012	2790.035909	2699.042317	2527.826396	1614
"ANXA6"	9246.486629	5533.76709	14081.24077	21236.26324	13598.08102	10874.63611	9396.022074	10408.84211	8456.861052	11303.84446	9194.256806	17165.12749	5451.666309
"ANXA7"	2909	1874	3808.062363	5227.347032	3784.771559	3486.057034	3018.229731	2903.939436	3483.169194	4318.129469	3667.953315	5088.693689	2033
"ANXA11"	2175.140438	1485.427537	2867.607461	3441.289245	2332.297136	1773.323605	1612	1729.300013	2073.344692	2939.434379	2770.652481	3987.641553	1365.276214
"ANXA13"	8	0	12	5	5	3	2	7	5	5	5	3	0
"AOAH"	243	167.0024919	284.4742104	175	181	220	210	237.3114087	358	245	303	346	262
"AOC2"	64	49	106	66	30	52	39	95	71	79	39	120	64
"AOX1"	182	68	176	137	160	141	145	133	221	191	205	143	82
"APAF1"	1298	973	1707	1915	1290	1236	1233	1434	1621	1673	1490	2223	945
"NUDT2"	181	162	376	410	384	316	269	216	321	398	325	343	204
"APOF"	9	5	5	7	1	2	2	5	3	3	5	6	1
"APBA1"	2693.602215	2276.925467	3872.823432	5324.830731	3461.330992	2257.605521	2488.643487	2953.765281	2621.658738	3158.806662	3317.804197	4971.075729	2147
"APBA2"	4805	3106	6184	8368	5596	4042	3470	4689	3917	4970	4966	8179	3304
"APBB1"	6284	4534	9866	14503.60853	8624	6990	5978	7989	7532	8984	8021.593346	11872	5054
"APBB2"	3041.129717	1763.301595	4556.440683	4472.575581	2429.716457	3189.939069	2089.949344	3286.925813	3626.541551	4044.280617	3367.635939	3399.036963	2205.613229
"APC"	14295.01031	10509	19238	28900.85255	16914.35264	14281.00366	11770.00447	17450.02942	18678.01375	21450.02969	16821.34697	26594.36115	13323.22664
"AIRE"	32	45	20	18	43	31	23	23	29	38	66	69	42
"APEH"	1053	1060.90441	2359.972851	3088.038742	1897	1321	1114	1570.980386	1485.941805	1844.990319	1627	2936.973543	1164
"APEX1"	599	420	688	1068	786	539	550	607	791	839	745	949	450
"BIRC2"	1574.11175	849	1533.070465	2610.099622	1602.06262	1649.078498	1421.135705	1576.08342	1964.079628	1994	1607	2484.055899	1093
"BIRC3"	296	70	453	265	124	240	251	207	329	214	239	283	161
"XIAP"	1885.895066	990.0032051	1808.641107	3319.632207	2244.399989	1823.872704	1834.865392	2047	2182	2356.268051	2170	3375	1322
"BIRC5"	3	0	10	7	5	8	4	7	9	6	4	9	5
"APLP1"	12929.83421	7570.909513	17460.75444	20724.13197	13648.08833	12441.94648	10156.95689	16882.85519	17098.61991	18996.62896	18215.12648	18096.65143	9076.262833
"APLP2"	10280.83367	7104.712223	12634.74981	19537.63372	13362.6308	10637.49119	9777.208779	11153.04682	10573.59764	14347.66989	11573.01291	18539.37427	6495.95747
"APOA1"	2	3	3	7	4	3	3	7	14	2	6	6	2
"APOA2"	1	0	4	1	3	0	0	1	0	0	0	0	1
"APOB"	43	37	51	113	76	62	102	60	56	41	95	103	26
"APOC1"	114	26	38	101	132	25	105.6004731	52	188.5169833	130	114	197.7360952	155
"AQP8"	6	6	4	9	9	8	2	3	6	7	13	7	4
"APOC2"	188	31	140	63	92	65	115	136	179	189	86	243	124
"APOC4"	1	1	0	2	0	1	0	1	2	4	0	4	0
"APOD"	6473	2942	7811	4156	3545	4771	4173	5934	8048	6685	6720	5595	3825
"APOE"	5351	4101	5487	9106	6354	4040	3735	4531	8003	9355	8423	6053	5539
"APP"	32881.57147	20848.58248	41827.65387	64807.92295	39716.86019	33700.8561	29293.67751	38129.98604	37548.71974	43157.36266	39228.41269	55694.22518	22507.57212
"APRT"	240.9799331	175	300.1752122	291.5531747	232.151759	155	185.9768198	249	319.7565226	377.6523173	342.6504723	337.9148137	155
"FAS"	311.8334408	303.8750619	382	489	192	353.9483656	317.037231	222	219	277.0297925	340	623	189
"FASLG"	0	0	1	0	0	0	0	0	2	1	1	1	0
"SHROOM2"	725	625	1032	1364	704	553	618	797	651	996	824	1373	532
"AQP1"	2260	997	2055	2191	1168	1824	1942	2230	4805	3608	2788	4462	1674
"AQP2"	0	0	1	1	0	0	1	0	0	1	0	1	0
"AQP3"	12	3	13	5	8	7	8	3	10	8	4	5	10
"AQP4"	23589	15175	16592	25166	16771	25632	19419	24950	41063	45363	28260	47596	25187
"AQP5"	4	5	20	21	6	3	8	19	18	6	10	9	10
"AQP6"	35	12	60	36	27	20	13	26	37	46	25	17	30
"AQP7"	4	4	8	6	9	3	7	3	1	4	6	6	4
"AQP9"	190	53	94	85	122	56	84	108	98	65	83	141	53
"AR"	57	49	97	101	63	84	46	111	117	97	99	87	73
"ABCC6"	32	35	43	21	31	24	23	46	28	64	47	68	30
"ARAF"	404	308	641	482	360	409	335	474	512	551	505	560	309
