"GeneName"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"EBPL"	89.7759746261053	0.434191803852451	0.189882597109722	2.28663295352737	0.0222172561062928	0.41279455271123
"SPINK7"	20.5010505149829	0.254575082171304	0.339101143206983	0.750734957021111	0.452812180628202	0.899870180933117
"N-PAC"	2713.76626788705	-0.0719926381226961	0.0610111543919011	-1.17999141042728	0.238003631226165	0.786995625851637
"CCDC62"	226.698404368431	-0.152345182955277	0.187572479783056	-0.812193681778253	0.416680504403261	0.889734954506226
"DPY30"	542.473440175337	0.0856234589349144	0.10613629362936	0.806731194457586	0.419821367829423	0.890264713781016
"GLIS2"	138.808959224297	0.0959112629891078	0.217245826406307	0.441487252370633	0.658860288162343	0.951813118355585
"HES7"	9.98833722387075	-0.392316369323176	0.463968427536591	-0.845566952488886	0.397794367897051	0.882317735549739
"FAM126A"	1074.14533673841	0.0935833774630766	0.129104615615188	0.724864692227685	0.468535043421265	0.904846558650122
"USP32"	6454.69655999651	0.0174173512963758	0.124585183136923	0.139802750678895	0.888815839914413	0.985617732353328
"ZNF347"	432.140493961856	0.240486494173829	0.154385731822756	1.5576989617792	0.119304626743024	0.682514501171225
"CARD6"	51.1694244980001	0.566353705020861	0.255857311562249	2.2135529430945	0.0268595474341271	0.434596849896301
"FBXL10"	1054.30927487463	-0.0745575688395096	0.0887142436857755	-0.840423879434642	0.400670764882067	0.884070421703595
"SLC9A7"	1112.2707619874	-0.232263879292497	0.156372483641584	-1.48532448857729	0.137457887873992	0.70452081998461
"ACCS"	201.650180164709	0.296487608787114	0.285602495748208	1.03811280783941	0.299217539293928	0.820650801002601
"HINT2"	125.995237275214	-0.0449243187330749	0.19434175588983	-0.231161432741926	0.817189390809948	0.977910976394714
"INSM2"	66.8121191872443	-0.0810398936952001	0.215978868697024	-0.375221400982905	0.707495815324549	0.956790718781854
"PPP1R9B"	2106.17233986821	-0.305082654377774	0.159119251874372	-1.91732081934777	0.0551971865802185	0.552285141068609
"C9orf24"	104.764683112606	-0.382752398270076	0.162097978736003	-2.36124102999111	0.0182138882305274	0.388096666340279
"MS4A14"	22.0089563082818	1.09128298565459	0.401052617038622	2.72104691327696	0.00650755255153366	0.252295091564814
"SPATA22"	29.8331242784377	0.0577850807600265	0.387662266529419	0.149060369680425	0.881505996875579	0.984793214712491
"FAM71F1"	8.71413134584584	-0.60436304247568	0.594086699657856	-1.01729771567642	0.309011822970139	0.82694660328878
"CCDC54"	18.2100419577521	0.744628431955373	0.39217523961478	1.89871352583808	0.057602152185102	0.556482200459581
"MCEE"	90.0668097466203	0.184453134167943	0.151698847077839	1.21591651961137	0.224016724454207	0.770554007656779
"LOXL3"	238.379827786291	0.0764268559661549	0.118386934045954	0.645568335577374	0.518558949406342	0.921841697152256
"ABHD1"	74.9080063725797	0.0911950640351503	0.19769953369173	0.461281128651266	0.644596922389806	0.949436256355866
"CAPS2"	721.46537970008	-0.064512012565215	0.116812076249169	-0.552271773918359	0.580762166154942	0.940358965477246
"CREB3L3"	12.1130777246297	0.099081567812529	0.432665008831045	0.229002960235271	0.818866615326277	0.977996473385981
"MYO18B"	16.81979125163	0.431805683733741	0.374896730514904	1.151799011799	0.249403674066771	0.795775664692886
"COX4I2"	11.3931250767024	-0.380663859236656	0.394712296656608	-0.96440841205367	0.334841206449503	0.847339983958862
"GTPBP3"	165.735504844608	-0.021183706545111	0.182241417183763	-0.116239803621316	0.9074624918194	0.987243976778946
"GPT2"	1780.1487592247	0.26203139716871	0.150858193889962	1.73693844803577	0.0823980360085077	0.619385881783921
"BEX2"	1563.38154750499	-0.312923532061787	0.184343080461197	-1.69750625452771	0.0896009896353808	0.633262620693987
"LNX1"	1298.6103762906	-0.31100013594663	0.166998811706991	-1.8622895143248	0.0625622926882597	0.570582370983849
"OSAP"	27.7952454740067	-0.186198672553677	0.277389756712467	-0.671252878117933	0.502059447949617	0.916054631696667
"HDGF2"	1016.30779146872	-0.0798440356567975	0.0965809974728744	-0.826705436327911	0.408404039323105	0.887061032361286
"PIGO"	393.761360563966	0.0115603830961206	0.0999490211957356	0.115662794470806	0.907919794003599	0.987243976778946
"PSRC1"	974.953215155002	-0.0216298661306643	0.139756354687547	-0.154768390882992	0.87700391132185	0.984793214712491
"PLEKHA8"	219.238850293747	0.0170644061918187	0.142439457207594	0.119801117796656	0.904640696448247	0.98680379587034
"KIAA0515"	11851.7104010634	-0.085210657699941	0.0954583197658761	-0.892647785011628	0.372045820723248	0.868691834152731
"SPSB2"	40.4527598273509	0.26366551923606	0.219065942361961	1.20358973372688	0.22874818944088	0.777862915094829
"CBX2"	16.9324507565969	0.137041016889302	0.381104902088707	0.359588701531329	0.719154734046412	0.958377811998996
"CNDP1"	3341.94740783399	0.283908653695423	0.328013359582832	0.865539909888117	0.386742520668893	0.878178171406373
"UNC119B"	770.35242376646	0.0524766761291808	0.0880854449436911	0.595747415055083	0.551343977593707	0.930703467628213
"USP30"	932.451455345894	0.00744512440797622	0.0970898114753749	0.0766828598679949	0.938875840230412	0.988973277122479
"FUT10"	361.011897331563	0.0224273752632992	0.110066194907525	0.203762611055484	0.838539011873728	0.979610606370691
"B3GNT9"	270.353551613563	0.173323987343446	0.121470104453209	1.42688596608733	0.153612766633803	0.717985440763036
"PCGF1"	222.445353569003	-0.0978301812767942	0.195131540945694	-0.50135503877367	0.616121276552432	0.946913969220577
"ZNF577"	718.671938415344	0.160280626098883	0.130216607687557	1.23087698984958	0.218368874833314	0.766333914036434
"EFCAB4B"	70.8601890403856	0.274214363859806	0.24767735068769	1.10714347960536	0.268231899602451	0.805928396032853
"FKSG24"	86.0066615464879	0.0779511857529143	0.178290308028235	0.43721493677923	0.661955478227994	0.95182613609434
"ZNF607"	497.266094267312	0.0874461126252188	0.102900507569073	0.849812257403291	0.395429473782431	0.882152650932286
"SUV420H2"	135.009355307663	-0.0171429769257267	0.169454236743187	-0.101165820667602	0.919418828636996	0.987555696397803
"TUBA1C"	2191.88140231452	-0.00460696043581763	0.171791365587322	-0.0268171826917337	0.978605548340333	0.997373154586072
"MGC12966"	451.8652087576	-0.0727158626503215	0.164894969622061	-0.440982904554253	0.659225373301193	0.95182613609434
"C10orf33"	168.263648270185	-0.020252838573884	0.191539622945724	-0.105737070285572	0.915790967369556	0.987243976778946
"C19orf48"	125.356639147751	0.0606978844377903	0.239489917450865	0.253446512838034	0.799923188574954	0.974472958000064
"AGPAT9"	110.38017556517	-0.0829868737188175	0.229975608066854	-0.360850763332663	0.718211012194215	0.958377811998996
"MFSD9"	89.6430786753344	-0.0377138544115568	0.146399791733426	-0.257608661631354	0.796708944272071	0.973994874646236
"NFKBID"	64.8164890263699	-0.0611484324100384	0.251535893766643	-0.243100225158193	0.80792775679548	0.975397957075388
"BUD13"	351.936752207363	-0.0106542294622626	0.116384524687718	-0.0915433515826086	0.927060861240988	0.987555696397803
"PLCD4"	164.214164846602	0.0671993794822361	0.174213479531581	0.385730080490437	0.699696582656737	0.955735662198011
"PPAPDC3"	243.875410268119	-0.0850448080946392	0.160128318389069	-0.531104110442245	0.595346635981919	0.944684398188124
"RTN4IP1"	331.024958437491	-0.123847440981865	0.11615521671853	-1.06622366588989	0.286322546488488	0.81596856546052
"TXNDC17"	300.91122724019	-0.199470768586134	0.114064871753936	-1.74874845795153	0.0803345097255676	0.613690986370256
"IL17RC"	443.544314738402	-0.26839448473398	0.184832390005562	-1.45209659803622	0.146474747745551	0.712083162240822
"POLR2J4"	653.524425839641	-0.0763628974930779	0.147599107887911	-0.51736693118138	0.604900039463081	0.945607006747493
"LMNB2"	603.187053604401	-0.0731168197886919	0.0914415616420429	-0.799601608674565	0.423941655150804	0.890453000792544
"SFT2D3"	105.556675116947	0.178020369861629	0.144086589971573	1.23550963276146	0.216640893668982	0.765949082790478
"C6orf105"	99.3743308012765	-0.501568589753656	0.281104376644423	-1.78427883528866	0.0743783675994013	0.605978914903436
"USMG5"	1442.65029134437	-0.0915334653029646	0.205671180472245	-0.445047600216973	0.65628535528405	0.950624921042884
"ABHD14B"	151.510595940139	0.150984993490361	0.182372165012643	0.827894944822826	0.407729998082158	0.887061032361286
"ZNF496"	462.908485756896	-0.0440385382258681	0.148126529559507	-0.297303517181075	0.766234796659394	0.967883745093032
